date,A,AMZN,CAT,GDP,MSFT,NFLX,TSLA,XOM
2011-01-03,28.572239933249,184.22,77.197617452901,18.24,23.211567606138,25.487142857142857,26.62,60.415733100366
2011-01-04,28.306166065676,185.01,76.836842607662,18.17,23.300747145726,25.91,26.67,60.699375039805
2011-01-05,28.244764403928,187.42,77.500996300034,18.41,23.228159148387,25.67571428571428,26.83,60.537293931554
2011-01-06,28.299343658815,185.86,76.697452326546,18.45,23.90841238059,25.427142857142858,27.88,60.926288591355
2011-01-07,28.394857354867,185.49,76.853241464263,18.35,23.725905415852,25.614285714285714,28.24,61.258554863269
2011-01-10,28.804201766518,184.68,76.574460902033,19.02,23.410666113124,26.839999999999996,28.45,60.885768314293
2011-01-11,29.295415060499,184.34,77.033628886883,19.51,23.319412630756,26.664285714285715,26.96,61.339595417394
2011-01-12,29.425040790855,184.08,76.656455185042,20.53,23.68442656023,26.985714285714284,26.96,62.060856349109
2011-01-13,29.315882281082,185.53,77.1894180246,20.11,23.385778799751,27.355714285714285,26.22,62.166209069471
2011-01-14,29.513732080046,188.75,77.082825456688,20.41,23.47703228212,27.354285714285712,25.75,63.081967331087
2011-01-18,30.257374427879,191.25,79.263873384726,19.96,23.775680042599,27.66857142857143,25.64,63.787020151976
2011-01-19,28.947472310596,186.87,78.695525960477,19.87,23.618060391235,27.267142857142858,24.03,63.406129547588
2011-01-20,28.851958614544,181.96,77.105800556419,19.08,23.520585080523,26.428571428571427,22.62,63.009030832374
2011-01-21,28.729155291048,177.42,76.397425505906,19.28,23.244750690636,26.012857142857143,23.04,64.005829648114
2011-01-24,29.179434143865,176.85,77.896544798852,19.98,23.543398451115,26.28,24.49,63.689771487026
2011-01-25,29.124854888978,176.7,77.748280253396,19.84,23.601468848986,26.677142857142858,24.68,63.762707985739
2011-01-26,29.042986006648,175.39,78.868501263509,20.72,23.875229296092,26.147142857142857,24.75,64.556905416166
2011-01-27,28.961117124317,184.45,79.593350152406,20.51,23.949891236212,30.124285714285712,24.92,64.735194635242
2011-01-28,27.958223315772,171.14,78.810842829165,20.16,23.021594447389,31.139999999999997,24.01,64.013933703527
2011-01-31,28.538127898945,169.64,79.906353081703,21.22,23.000025442465,30.582857142857144,24.1,65.383519068244
2011-02-01,28.688220849883,172.11,80.730045000904,21.93,23.221937320044,30.414285714285715,23.91,68.001128966489
2011-02-02,28.128783487293,173.53,81.619632273641,21.99,23.17838452164,30.179999999999996,23.94,67.595926195863
2011-02-03,27.965045722633,173.71,81.487841566569,21.5,22.937807159032,30.212857142857143,23.63,67.6202383621
2011-02-04,29.329527094803,175.93,82.031478233242,21.35,23.037356412525,31.438571428571425,23.46,67.4905734755
2011-02-07,30.318776089627,176.43,82.756327122139,21.15,23.392000628094,31.145714285714284,23.07,68.017337077314
2011-02-08,30.134571104384,183.06,82.871643990827,21.46,23.462514682652,31.08928571428571,24.49,67.604030251275
2011-02-09,29.629712996681,185.3,82.196216617082,20.82,23.203271835014,31.755714285714284,23.21,67.253708089211
2011-02-10,30.018590187749,186.21,82.863407071635,20.71,22.813370592166,31.885714285714283,23.215,67.783264845819
2011-02-11,30.714475687556,189.25,85.285061314086,20.8,22.605976314055,33.01,23.25,67.473677818879
2011-02-14,30.557560329757,190.42,85.05442757671,21.09,22.589384771806,35.364285714285714,23.08,69.176406467049
2011-02-15,29.097565261534,189.03,84.840267677717,20.88,22.498131289438,34.39857142857142,22.84,67.59588322425
2011-02-16,29.725226692733,186.62,85.293298233278,21.38,22.548201314562,33.96035714285714,24.73,68.182469170031
2011-02-17,29.964010932863,187.76,85.13679676863,22.02,22.706756394124,33.661428571428566,23.6,68.337262683501
2011-02-18,29.964010932863,186.5,87.196026566633,19.7,22.581581331312,33.64428571428571,23.18,68.842378359035
2011-02-22,28.988406751761,180.42,84.024812677708,19.76,22.189366134501,31.657142857142855,21.87,69.608198899361
2011-02-23,27.596635752147,176.68,82.385665758498,19.8,22.189366134501,30.171428571428567,21.83,70.936164304393
2011-02-24,28.074204232407,177.75,82.838696314059,19.72,22.339576209875,30.74,22.53,70.039991331672
2011-02-25,28.89971546257,177.24,84.016575758516,20.39,22.155986117751,30.348571428571425,23.61,69.526728629113
2011-02-28,28.708688070466,173.29,84.782609243373,20.34,22.181021130313,29.52428571428571,23.89,69.681522142583
2011-03-01,27.753551109947,169.44,82.253875051426,19.45,21.830530954439,29.232857142857142,23.94,69.086789169777
2011-03-02,28.285698845093,172.02,83.168173081739,19.28,21.761684669893,29.17571428571428,24.02,69.31490592647
2011-03-03,29.213546178169,172.79,85.869882576719,19.73,21.863910971189,29.052857142857142,24.36,69.917785926301
2011-03-04,31.894752074484,171.67,84.873215354486,20.32,21.657372117549,30.10285714285714,24.95,69.31490592647
2011-03-07,31.294380270729,169.08,84.123655708012,20.45,21.46335077019,29.628571428571426,24.94,69.021612953579
2011-03-08,31.362604339337,166.89,85.771039546415,20.64,21.621905849752,27.921428571428567,24.66,68.923848629283
2011-03-09,31.417183594224,169.05,84.313104849429,20.65,21.605215841378,27.57,24.72,68.744614034738
2011-03-10,30.618961991504,166.14,81.0430479302,19.4,21.204655640379,28.574285714285715,24.01,66.300505927317
2011-03-11,30.932792707104,168.07,82.385665758498,19.39,21.429970753441,29.220142857142854,24.07,66.903385927148
2011-03-14,30.591672364061,166.73,84.098944950436,19.53,21.438315757628,28.74285714285714,23.25,67.115208629791
2011-03-15,29.895786864254,165.08,82.986960859515,19.46,21.187965632004,31.015714285714285,22.95,66.308652954342
2011-03-16,28.879248241987,164.7,82.698668687795,20.18,20.687265380755,30.548571428571428,22.82,64.614071333196
2011-03-17,28.961117124317,160.97,84.939110708022,20.8,20.678920376568,30.557142857142857,22.81,66.121271332773
2011-03-18,29.295415060499,161.82,86.537073031272,20.71,20.695610384943,29.914285714285715,22.96,65.868713495006
2011-03-21,29.984478153445,164.525,88.621013586851,21.87,21.137895606879,30.405714285714286,22.73,67.489971872929
2011-03-22,29.46597523202,162.6,87.96206005149,22.19,21.108688092223,31.627142857142854,22.19,67.261855116236
2011-03-23,29.793450761341,165.32,87.937349293914,21.73,21.313140694816,32.722857142857144,22.21,67.294443224335
2011-03-24,29.957188526002,171.1,89.263493283828,21.83,21.538455807878,32.73285714285714,22.33,67.400354575657
2011-03-25,30.045879815193,170.98,89.856551465652,23.04,21.379900728316,32.85857142857142,22.75,68.125439980858
2011-03-28,29.991300560306,169.35,90.111895960605,22.1,21.204655640379,33.90285714285714,23.25,68.003234575487
2011-03-29,30.400644971957,174.62,91.050904748494,22.25,21.271415673878,33.911428571428566,23.92,67.823999980943
2011-03-30,30.762232535582,179.42,91.866359748503,22.34,21.371555724128,33.99285714285714,23.71,68.834231332011
2011-03-31,30.550737922896,180.13,91.718095203047,22.22,21.187965632004,33.96857142857143,27.75,68.54093835912
2011-04-01,30.796344569887,180.13,93.176029900033,22.01,21.263070669691,34.58428571428571,26.66,68.989024845481
2011-04-04,30.5848499572,182.94,93.390189799025,22.03,21.321485699003,34.96,25.83,69.143818358951
2011-04-05,30.932792707104,185.29,92.50883944548,22.05,21.513420795315,34.88999999999999,26.7,69.591904845311
2011-04-06,30.898680672799,182.76,91.429803031327,21.75,21.822185950252,34.28142857142857,26.49,69.396376196717
2011-04-07,30.612139584644,184.91,90.482557324245,22.0,21.863910971189,33.42285714285714,27.24,69.868903764152
2011-04-08,30.625784398365,184.71,90.457846566669,22.11,21.755425916752,33.55142857142857,26.49,70.023697277622
2011-04-11,30.694008466974,184.04,89.840077627268,21.47,21.680320879065,32.59428571428571,25.27,69.380082142668
2011-04-12,30.65989643267,180.48,87.780847829266,20.16,21.396590736691,33.417142857142856,24.65,67.76697079177
2011-04-13,31.78559356471,182.29,88.653961263619,20.42,21.388245732503,34.107142857142854,24.93,67.75067673772
2011-04-14,31.812883192154,181.82,88.612776667659,20.4,21.213000644566,33.818571428571424,25.14,67.978793494413
2011-04-15,32.406432589048,180.01,88.308010657554,21.43,21.171275623629,33.64142857142857,25.58,68.671290791516
2011-04-18,31.778771157849,178.34,85.581590404999,20.95,20.929270502192,33.332857142857144,25.03,67.701794575572
2011-04-19,31.887929667623,178.82,87.393712627241,20.88,20.987685531504,34.50714285714286,25.16,68.272086467304
2011-04-20,33.184186971185,183.87,89.551785455548,21.59,21.49673078694,34.918571428571425,25.75,69.77928646688
2011-04-21,33.661755451444,185.89,90.494609942243,21.5,21.296450686441,36.03142857142857,26.74,70.357725385636
